budget,genres,id,original_language,popularity,production_companies,production_countries,revenue,runtime,title,vote_average,vote_count,release_year,release_month,release_day,release_quarter,season,main_genre,genre_count,keywords
30250000,"['Comedy', 'Thriller', 'Crime']",8012,en,12.669608,"['Jersey Films', 'Metro-Goldwyn-Mayer (MGM)']",['United States of America'],115101622.0,105.0,Get Shorty,6.4,305.0,1995,10,20,4,Fall,Comedy,3,"['gambling', 'miami', 'based on novel', 'job', 'murder', 'travel', 'mafia', 'money', 'debt', 'mobster', 'business', 'hollywood', 'gangster', 'crime', 'violence', 'drug', 'producer', 'con']"
50000000,"['Action', 'Adventure', 'Crime', 'Thriller']",9691,en,11.065939,"['Silver Pictures', 'Canal+', 'Warner Bros.', 'Dino De Laurentiis Company', 'Donner/Shuler-Donner Productions', 'Evansgideon/Lazar']","['France', 'United States of America']",30303072.0,132.0,Assassins,6.0,394.0,1995,10,6,4,Fall,Action,4,"['competition', 'assassination', 'cia', 'bank', 'cat', 'mexican standoff', 'seattle', 'hitman', 'mission of murder', 'hidden camera', 'rivalry', 'rescue', 'shootout', 'police chase', 'sniper rifle', 'silencer', 'double cross', 'caribbean', 'detroit michigan']"
3600000,"['Drama', 'Romance']",451,en,10.332025,"['United Artists', 'Intial Productions']",['United States of America'],49800000.0,112.0,Leaving Las Vegas,7.1,365.0,1995,10,27,4,Fall,Drama,2,"['individual', 'prostitute', 'alcohol', 'casino', 'love at first sight', 'lovesickness', 'film producer', 'screenwriter', 'hotel room', 'dying and death', 'rage and hate', 'unsociability', 'alcoholism', 'los angeles', 'alcohol abuse', 'attempted suicide']"
12000000,"['Comedy', 'Drama', 'Family']",9263,en,8.681325,['New Line Cinema'],['United States of America'],27400000.0,100.0,Now and Then,6.6,91.0,1995,10,20,4,Fall,Comedy,3,"['1970s', 'female friendship', 'coming of age', 'gynecologist', 'photocopier', 'truth or dare', 'woman director']"
18000000,"['Fantasy', 'Science Fiction', 'Adventure']",902,fr,9.822423,"['Procirep', 'Constellation Productions', 'France 3 Cinéma', 'Claudie Ossard Productions', 'Eurimages', 'MEDIA Programme of the European Union', 'Cofimage 5', 'Televisión Española (TVE)', 'Tele München Fernseh Produktionsgesellschaft (TMG)', ""Club d'Investissement Média"", 'Canal+ España', 'Elías Querejeta Producciones Cinematográficas S.L.', 'Centre National de la Cinématographie (CNC)', 'Victoires Productions', 'Constellation', 'Lumière Pictures', 'Canal+', 'Studio Image', 'Cofimage 4', 'Ossane', 'Phoenix Images']","['France', 'Germany', 'Spain']",1738611.0,108.0,The City of Lost Children,7.6,308.0,1995,5,16,2,Spring,Adventure,3,"['clone', 'dream', 'island', 'eye', 'dystopia', 'aging', 'friendship', 'rescue', 'children', 'girl', 'childhood']"
29500000,"['Science Fiction', 'Thriller', 'Mystery']",63,en,12.297305,"['Universal Pictures', 'Atlas Entertainment', 'Classico']",['United States of America'],168840000.0,129.0,Twelve Monkeys,7.4,2470.0,1995,12,29,4,Winter,Horror,3,"['schizophrenia', 'philadelphia', 'cassandra syndrom', 'stockholm syndrome', 'time travel', 'post-apocalyptic', 'dystopia', 'lethal virus', 'monkey', 'subterranean']"
30000000,"['Fantasy', 'Drama', 'Comedy', 'Family']",9598,en,14.404764,"['Universal Pictures', 'Kennedy Miller Productions']","['Australia', 'United States of America']",254134910.0,89.0,Babe,6.0,756.0,1995,7,18,3,Summer,Adventure,4,"['sheep', 'pig', 'affection', 'piglet', 'heroism', 'talking animal', 'separation', 'german shepherd', 'grandson', 'talking pig']"
11000000,['Drama'],687,en,6.891317,"['Havoc', 'PolyGram Filmed Entertainment', 'Working Title Films']","['United States of America', 'United Kingdom']",39363635.0,122.0,Dead Man Walking,7.3,350.0,1995,12,29,4,Winter,Drama,1,"['prison', 'rape', 'socially deprived family', 'penalty', 'death penalty', 'despair', 'death row', 'begnadigung', 'therapist', 'self-discovery', 'prison cell', 'court case', 'death sentence', 'doomed man', 'sentence', 'lethal injection', 'forgiveness', 'charity', 'mercy petition', 'rage and hate', 'unsociability', 'right and justice', 'court', 'electric chair', 'cowardliness']"
18000000,"['Action', 'Fantasy']",9312,en,10.870138,"['New Line Cinema', 'Threshold Entertainment']",['United States of America'],122195920.0,101.0,Mortal Kombat,5.4,452.0,1995,8,18,3,Summer,Action,2,"['martial arts', 'monster', 'island', 'gore', 'sorcerer', 'tournament', 'violence', 'based on video game', 'hand to hand combat']"
20000000,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",577,en,10.448481,"['The Rank Organisation', 'Columbia Pictures Corporation']",['United States of America'],21284514.0,106.0,To Die For,6.7,177.0,1995,5,20,2,Spring,Adventure,4,"['adultery', 'winter', 'obsession', 'television', 'new hampshire', 'narcissistic personality disorder']"
10000000,"['Drama', 'Romance']",11861,en,4.485958,"['Universal Pictures', 'Amblin Entertainment']",['United States of America'],23574130.0,116.0,How To Make An American Quilt,6.5,38.0,1995,10,6,4,Fall,Drama,2,"['wedding vows', 'marriage proposal', 'married couple', 'monogamy', 'advice', 'marriage', 'quilt', 'love', 'family holiday', 'extramarital affair', 'grandmother', 'woman director']"
33000000,"['Crime', 'Mystery', 'Thriller']",807,en,18.45743,"['New Line Cinema', 'Juno Pix', 'Cecchi Gori Pictures']",['United States of America'],327311859.0,127.0,Se7en,8.1,5915.0,1995,9,22,3,Fall,Action,3,"['self-fulfilling prophecy', 'detective', 's.w.a.t.', 'drug dealer', 'evisceration', 'lust and impulsiveness', 'rage and hate', 'pride and vanity', 'immoderateness', 'insomnia', 'investigation', 'pension', 'police', 'serial killer']"
55000000,"['Adventure', 'Animation', 'Drama', 'Family']",10530,en,13.280069,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",['United States of America'],346079773.0,81.0,Pocahontas,6.7,1509.0,1995,6,14,2,Summer,Adventure,4,"['culture clash', 'settler', 'forbidden love', 'colony', 'musical', 'gold rush', 'princess', 'romance', 'native american', 'animation', 'virginia', 'star crossed lovers', 'reference to pizarro', 'jamestown virginia', 'pug dog', 'cross cultural relationship', 'musket', 'animate tree', 'indian chief', 'based on myths or folklore', '17th century', 'shamanism', 'songs', 'indians vs. settlers', 'animal sidekick', 'powhatan', 'land claim']"
6000000,"['Drama', 'Crime', 'Thriller']",629,en,16.302466,"['Blue Parrot Productions', 'Bad Hat Harry Productions']",['United States of America'],23341568.0,106.0,The Usual Suspects,8.1,3334.0,1995,7,19,3,Summer,Drama,3,"['law', 'relatives', 'theft', 'criminal', 'criminal mastermind', 'hungarian', 'sibling']"
15000000,"['Comedy', 'Romance']",11448,en,15.899134,"['Miramax Films', 'Magnolia Pictures']",['United States of America'],6700000.0,95.0,Mighty Aphrodite,6.7,145.0,1995,9,13,3,Fall,Comedy,2,"['prostitute', 'adoption', 'adoptive father', 'childlessness', 'looking for  birth parents', 'adoptive mother', 'independent film', 'illegal prostitution', 'child']"
3500000,['Comedy'],10634,en,14.56965,['New Line Cinema'],['United States of America'],28215918.0,91.0,Friday,7.0,513.0,1995,4,26,2,Spring,Comedy,1,"['rap music', 'parent child relationship', 'rapper', 'job']"
19000000,"['Horror', 'Action', 'Thriller', 'Crime']",755,en,15.339153,"['A Band Apart', 'Dimension Films', 'Los Hooligans Productions', 'Miramax']",['United States of America'],25836616.0,108.0,From Dusk Till Dawn,6.9,1644.0,1996,1,19,1,Winter,Horror,4,"['dancing', 'brother brother relationship', 'sexual obsession', 'showdown', 'sheriff', 'eroticism', 'nudity', 'bank robber', 'vampire', 'holy water', 'siege', 'stripper', 'priest', 'explosion', 'extreme violence', 'bank robbery', 'preacher', 'hostage situation', 'crucifix', 'recreational vehicle', 'blood spurting', 'convenience store', 'female vampire', 'mexican american border', 'nightclub entertainer', 'boa constrictor']"
50000000,"['Action', 'Thriller', 'Romance']",11859,en,5.912223,"['Silver Pictures', 'Warner Bros.']",['United States of America'],11534477.0,91.0,Fair Game,4.1,54.0,1995,11,3,4,Fall,Action,3,"['bomb', 'miami', 'sex', 'detective', 'handcuffs', 'based on novel', 'hostage', 'fbi', 'kidnapping', 'russian', 'kgb', 'chase', 'sadism', 'parking garage', 'pizza', 'police protection', 'psychopath', 'remake', 'car crash', 'conspiracy', 'on the run', 'fugitive', 'shootout', 'gunfight', 'sadist', 'foot chase', 'police detective', 'police station', 'car chase', 'held at gunpoint', 'fbi agent', 'double cross', 'cult film', 'computer hacker', 'machine gun', 'swat team', 'grenade launcher', 'underwater scene', 'rogue agent', 'woman lawyer', 'damsel in distress']"
15000000,"['Comedy', 'Family']",36929,en,2.936443,"['Warner Bros.', 'Morgan Creek Productions']",['United States of America'],2042530.0,90.0,Big Bully,3.9,16.0,1996,1,26,1,Winter,Comedy,2,['bully']
20000000,"['Horror', 'Science Fiction']",9102,en,12.758848,"['The Movie Network (TMN)', 'Allegro Films', 'Fuji Eight Company Ltd.', 'Fries Film Group', 'Super Ecran', 'Triumph Films']","['Canada', 'Japan', 'United States of America']",5781885.0,108.0,Screamers,6.1,154.0,1995,9,8,3,Fall,Horror,2,"['man vs machine', 'alien planet', 'struggle for survival']"
8000000,"['Drama', 'Crime']",400,en,4.486179,['Miramax Films'],['United States of America'],529766.0,116.0,Things to Do in Denver When You're Dead,6.7,87.0,1995,12,1,4,Winter,Drama,2,"['father son relationship', 'bounty hunter', 'boat', 'way of life', 'coffin', 'denver', 'godmother', 'paranoia', 'hitman', 'friendship', 'psychopath', 'revenge', 'murder', 'independent film', 'mafia', 'diner', 'blood', 'gangster', 'violence', 'illegal prostitution', 'extramarital affair']"
38000000,"['Action', 'Drama']",10534,en,9.568604,"['Hollywood Pictures', 'Largo Entertainment', 'Scott Free Productions']",['United States of America'],10300000.0,129.0,White Squall,6.3,86.0,1996,2,2,1,Winter,Action,2,"['sailing trip', 'diary', 'sailing', 'survival', 'coming of age', 'teenage boy', 'discipline', 'squall', 'sail', 'ship captain', 'caribbean', 'male bonding', 'seasickness', 'storm at sea', '1960s']"
8169363,"['Crime', 'Drama', 'Thriller']",2086,en,6.848591,['Paramount Pictures'],['United States of America'],8175346.0,90.0,Nick of Time,6.1,190.0,1995,11,22,4,Fall,Action,3,"['assassination', 'train station', 'politics', 'los angeles']"
47000000,"['Drama', 'Horror', 'Thriller', 'Romance']",9095,en,12.866139,"['TriStar Pictures', 'NFH Productions']",['United States of America'],12379402.0,104.0,Mary Reilly,5.7,77.0,1996,2,23,1,Winter,Drama,4,"['servant', 'monster', 'laboratory', 'jekyll and hyde', 'housemaid', '19th century']"
14000000,"['Comedy', 'Horror', 'Romance']",12158,en,9.071127,['Paramount Pictures'],['United States of America'],19800000.0,100.0,Vampire in Brooklyn,4.5,113.0,1995,10,26,4,Fall,Comedy,3,"['vampire', 'half vampire']"
50000000,"['Action', 'Adventure', 'Drama', 'Thriller']",9208,en,14.957626,"['Twentieth Century Fox Film Corporation', 'WCG Entertainment Productions', 'Mark Gordon Productions']",['United States of America'],150270147.0,108.0,Broken Arrow,5.7,459.0,1996,2,9,1,Winter,Action,4,"['helicopter', 'river', 'captain', 'underground', 'mexican standoff', 'countdown', 'pilot', 'fistfight', 'canyon', 'major', 'betrayal', 'gunfight', 'train', 'explosion', 'park ranger', 'desert', 'military', 'nuclear device', 'boxing', 'stealth aircraft', 'abandoned mine', 'humvee']"
7000000,"['Comedy', 'Crime', 'Drama']",13685,en,6.904831,"['Gracie Films', 'Columbia Pictures Corporation']",['United States of America'],560069.0,91.0,Bottle Rocket,6.8,285.0,1996,2,21,1,Winter,Comedy,3,"['brother brother relationship', 'robbery', 'burglar', 'language barrier', 'motel', 'independent film', 'psychiatric hospital', 'maid', 'theft', 'nervous breakdown', 'escapade', 'laundry room']"
12000000,['Comedy'],9614,en,9.592265,"['Universal Pictures', 'Brillstein-Grey Entertainment', 'Robert Simonds Productions']",['United States of America'],41205099.0,92.0,Happy Gilmore,6.5,767.0,1996,2,16,1,Winter,Comedy,1,"['loss of mother', 'loss of father', 'golf', 'sport', 'taxes']"
24000000,"['Drama', 'Romance']",688,en,5.951077,"['Amblin Entertainment', 'Malpaso Productions', 'Warner Bros.']",['United States of America'],182016617.0,135.0,The Bridges of Madison County,7.3,397.0,1995,5,28,2,Spring,Drama,2,"['farewell', 'adultery', 'love at first sight', 'photographer', 'wife husband relationship', 'iowa', ""love of one's life"", 'mother role', 'bridge', 'housewife', 'love letter', 'peasant', 'marriage crisis', 'photography', 'unsociability', 'secret love', 'nature documentary']"
72000000,"['Action', 'Drama', 'History', 'War']",197,en,20.755149,"['Icon Entertainment International', 'The Ladd Company', 'B.H. Finance C.V.']",['United States of America'],210000000.0,177.0,Braveheart,7.7,3404.0,1995,5,24,2,Spring,Action,4,"['individual', 'scotland', 'in love with enemy', 'legend', 'independence', 'idealism', 'revolt', 'tyranny']"
1300000,"['Crime', 'Drama']",103,en,14.092713,"['Columbia Pictures Corporation', 'Italo/Judeo Productions', 'Bill/Phillips']",['United States of America'],28262574.0,114.0,Taxi Driver,8.1,2632.0,1976,2,7,1,Winter,Action,2,"['vietnam veteran', 'taxi', 'obsession', 'drug dealer', 'night shift', 'vigilante', 'alienation', 'misanthrope', 'shot to death', 'illegal prostitution', 'loner']"
7500000,"['Crime', 'Action', 'Comedy', 'Thriller']",33542,cn,12.314278,"['New Line Cinema', 'Golden Harvest Company']",['Hong Kong'],32392047.0,91.0,Rumble in the Bronx,6.5,245.0,1995,1,30,1,Winter,Action,4,"['new york', 'martial arts', 'supermarket', 'gang war', 'disabled child', 'gang', 'wedding', 'diamond', 'bronx', 'duringcreditsstinger']"
25000000,"['Comedy', 'Drama']",78406,en,1.522412,['Savoy Pictures'],['United States of America'],6278139.0,113.0,Steal Big Steal Little,5.1,7.0,1995,9,29,3,Fall,Comedy,2,"['brother brother relationship', 'twin brother', 'lawyer', 'estate', 'santa barbara california']"
40000000,"['Comedy', 'Romance']",11066,en,6.506983,['Paramount Pictures'],['United States of America'],70100000.0,117.0,Boomerang,5.4,139.0,1992,6,30,2,Summer,Comedy,2,"['role of women', 'ladykiller', 'success', ""ladies' man"", 'chefin', 'casanova', 'womanizer']"
7000000,"['Comedy', 'Romance']",2074,en,5.579088,['Miramax Films'],['United States of America'],14702438.0,92.0,Flirting with Disaster,6.3,66.0,1996,3,22,1,Spring,Comedy,2,"['lsd', 'looking for  birth parents', 'half-brother', 'independent film']"
50000000,"['Action', 'Thriller', 'Mystery', 'Romance']",11863,en,11.418917,['Paramount Pictures'],['United States of America'],9851610.0,95.0,Jade,5.1,45.0,1995,10,13,4,Fall,Action,4,"['callgirl', 'san francisco', 'investigation', 'murder']"
31000000,['Comedy'],11000,en,6.49968,['United Artists'],['United States of America'],185260553.0,117.0,The Birdcage,6.7,303.0,1996,3,8,1,Spring,Comedy,1,"['gay', 'drag queen', 'homophobia', 'florida', 'coming out', 'senator', 'politician', 'lgbt', 'crossdressing', '1990s']"
19000000,"['Action', 'Comedy', 'Crime', 'Thriller']",9737,en,9.262184,"['Columbia Pictures', 'Don Simpson/Jerry Bruckheimer Films']",['United States of America'],141407024.0,118.0,Bad Boys,6.5,1729.0,1995,4,7,2,Spring,Action,4,"['miami', 'detective', 'handcuffs', 'airport', 'mexican standoff', 'strip club', 'witness protection', 'car crash', 'internal affairs', 'gunfight', 'explosion', 'brutality', 'foot chase', 'car chase', 'drug lord', 'hangar', 'loose cannon', 'bust', 'reference to skittles', 'black cop', 'badge', 'action hero', 'corrupt cop']"
4000000,"['Romance', 'Drama', 'Comedy']",22279,en,0.922958,"['Fine Line Features', 'BBC', 'British Screen Productions', 'Portman Productions']",['United Kingdom'],851545.0,113.0,An Awfully Big Adventure,6.0,11.0,1995,7,21,3,Summer,Comedy,3,"['england', 'based on novel', 'liverpool', 'theatre company', '1940s']"
52000000,['Drama'],568,en,18.761467,"['Imagine Entertainment', 'Universal Pictures']",['United States of America'],355237933.0,140.0,Apollo 13,7.3,1637.0,1995,6,30,2,Summer,Drama,1,"['moon', 'florida', 'nasa', 'spaceman', 'race against time', 'houston', 'based on true story', 'space', 'rescue', 'survival', 'disaster', 'explosion', 'astronaut', 'imax', 'saturn v rocket', 'courage', 'hypothermia', 'apollo program', 'cape kennedy', 'lunar mission', 'spacecraft accident']"
28000000,['Adventure'],11780,en,10.193549,"['United Artists', 'Talisman Productions']","['United Kingdom', 'United States of America']",31596911.0,139.0,Rob Roy,6.5,151.0,1995,4,13,2,Spring,Adventure,1,"['scotland', 'biography', '18th century', 'highlands', 'violent man']"
100000000,"['Action', 'Crime', 'Fantasy']",414,en,13.321354,"['Warner Bros.', 'Polygram Filmed Entertainment']","['United Kingdom', 'United States of America']",336529144.0,121.0,Batman Forever,5.2,1529.0,1995,6,16,2,Summer,Action,3,"['riddle', 'dc comics', 'rose', 'gotham city', 'partner', 'superhero', 'robin', 'broken neck', 'psychologist', 'violence', 'criminal', 'district attorney', 'millionaire', 'falling down stairs', 'tied up', 'tommy gun', 'beretta', 'knocked out', 'super powers', 'disfigurement', 'father figure']"
2000000,['Comedy'],5894,en,11.528147,"['Miramax Films', 'InterAL']",['United States of America'],1275000.0,83.0,Blue in the Face,6.8,28.0,1995,9,15,3,Fall,Comedy,1,"['smoking', 'corner shop', 'cigarette', 'tobacco', 'cigar', 'independent film']"
11000000,"['Action', 'Comedy']",1775,en,5.391556,['PolyGram Filmed Entertainment'],"['Canada', 'United States of America']",178104.0,91.0,Canadian Bacon,5.9,57.0,1995,6,8,2,Summer,Action,2,[]
50000000,"['Fantasy', 'Comedy', 'Family']",8839,en,12.812539,"['Universal Pictures', 'Amblin Entertainment', 'The Harvey Entertainment Company']",['United States of America'],287928194.0,100.0,Casper,6.0,1045.0,1995,5,26,2,Spring,Adventure,3,"['halloween', 'friendship', 'supernatural', 'afterlife', 'friends', 'danger', 'ghost', 'disorder', 'young heroes', 'imaginary', 'supernatural ability', 'mischievous children']"
25000000,"['Mystery', 'Crime', 'Drama']",20649,en,4.558992,"['Universal Pictures', '40 Acres & A Mule Filmworks']",['United States of America'],13071518.0,128.0,Clockers,6.8,69.0,1995,9,15,3,Fall,Action,3,"['drug pusher', 'train', 'drug', 'drug lord']"
50000000,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']",10329,en,7.260574,"['Paramount Pictures', 'Kennedy/Marshall Company, The']",['United States of America'],152022101.0,109.0,Congo,5.0,214.0,1995,6,9,2,Summer,Action,6,"['gorilla', 'kongo', 'diamond mine', 'diamond']"
53000000,"['Action', 'Thriller', 'Drama']",8963,en,8.657365,"['Hollywood Pictures', 'Don Simpson/Jerry Bruckheimer Films']",['United States of America'],157387195.0,116.0,Crimson Tide,7.0,508.0,1995,5,12,2,Spring,Action,3,"['submarine', 'mutiny', 'russia', 'missile', 'nuclear missile', 'embassy', 'u.s. navy', 'battle for power', 'torpedo', 'military', 'moral dilemma', 'post cold war', 'aircraft carrier', 'chain of command', 'launch code', 'sonar']"
7000000,"['Thriller', 'Action', 'Crime']",8068,en,6.950458,"['Columbia Pictures', 'Los Hooligans Productions']",['United States of America'],25405445.0,104.0,Desperado,6.8,898.0,1995,8,25,3,Summer,Action,3,"['gunslinger', 'anti terror', 'ambush', 'mexico', 'showdown', 'guitar', 'nudity', 'hitman', 'bartender', 'revenge', 'tragic hero', 'shootout', 'mariachi', 'explosion', 'extreme violence', 'brutality', 'drug lord', 'leg brace', 'concealed weapon', 'flashback', 'bookstore']"
27000000,"['Drama', 'Mystery', 'Thriller']",8512,en,4.646132,"['TriStar Pictures', 'Mundy Lane Entertainment']",['United States of America'],16140822.0,102.0,Devil in a Blue Dress,6.3,88.0,1995,9,15,3,Fall,Drama,3,"['jazz club', 'murder', 'los angeles', 'private detective', 'film noir', 'neo-noir']"
90000000,"['Action', 'Thriller']",1572,en,15.138855,"['Twentieth Century Fox Film Corporation', 'Cinergi Pictures Entertainment']",['United States of America'],366101666.0,128.0,Die Hard: With a Vengeance,6.9,2094.0,1995,5,19,2,Spring,Action,2,"['bomb', 'taxi', 'riddle', 'robbery', 'detective', 'helicopter', 'gold', 'subway', 'ship', 'fistfight', 'police', 'sequel', 'deception', 'shootout', 'new york city', 'explosion', 'violence', 'car chase', 'fbi agent', 'simon says', 'flashback', 'dump truck', 'aqueduct', 'action hero', 'federal reserve bank']"
55000000,"['Action', 'Adventure', 'Drama', 'Romance']",6520,en,15.178338,"['Columbia Pictures Corporation', 'First Knight Productions']",['United States of America'],127600435.0,134.0,First Knight,5.9,319.0,1995,7,7,3,Summer,Action,4,"['camelot', 'knight', 'king arthur', 'excalibur', 'knights of the round table']"
20000000,"['Action', 'Crime', 'Thriller', 'Drama']",10428,en,14.810519,"['United Artists', 'Suftley']",['United States of America'],7563728.0,107.0,Hackers,6.2,406.0,1995,9,14,3,Fall,Action,4,"['female nudity', 'hacker', 'nudity', 'computer virus', 'virtual reality', 'computer', 'sexual fantasy', 'prank', 'internet', 'cyberpunk', 'teenager', 'new york city', 'secret service', 'computer hacker', 'dream sequence']"
25000000,"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']",9886,en,11.715868,"['TriStar Pictures', 'Alliance Communications Corporation']","['Canada', 'United States of America']",19075720.0,97.0,Johnny Mnemonic,5.5,380.0,1995,5,26,2,Spring,Adventure,5,"['brain', 'childhood memory', 'dystopia', 'pharmaceutical industry', 'computer chip', 'courier', 'cyber', 'cyberpunk']"
90000000,['Science Fiction'],9482,en,8.184815,"['Hollywood Pictures', 'Cinergi Pictures Entertainment']",['United States of America'],113493481.0,96.0,Judge Dredd,5.4,643.0,1995,6,30,2,Summer,Horror,1,"['judge', 'post-apocalyptic', 'dystopia', 'based on comic', 'police officer', 'based on graphic novel', 'frame up', 'dystopic future', 'framed for murder', 'gene', 'prosthetic limb', 'post holocaust', 'dna testing', 'dredd', '2000 ad']"
1500000,"['Drama', 'Crime']",9344,en,4.877872,['Miramax Films'],['United States of America'],7412216.0,91.0,Kids,6.8,280.0,1995,7,28,3,Summer,Drama,2,"['puberty', 'first time']"
500000,"['Drama', 'Comedy']",9071,en,10.058329,"['JDI productions', 'Lemon Sky Productions']",['United States of America'],1148752.0,89.0,Living in Oblivion,7.2,64.0,1995,1,20,1,Winter,Drama,2,"['cinema', 'independent film', 'filmmaker']"
6000000,"['Romance', 'Comedy']",2293,en,8.25547,"['Universal Pictures', 'Gramercy Pictures', 'Alphaville Films', 'View Askew Productions']",['United States of America'],2122561.0,94.0,Mallrats,6.8,400.0,1995,10,20,4,Fall,Comedy,2,"['sex', 'game show', 'slacker', 'shopping', 'mall', 'ex-boyfriend ex-girlfriend relationship', 'jay and silent bob', 'silent man', 'coke', 'bandleader', 'aftercreditsstinger']"
